ensgene,external_gene_name,log2FoldChange,lfcSE,pvalue,padj,gene_biotype
ENSG00000006210,CX3CL1,2.4275213822755433,0.5002207652987489,4.141582575307973e-8,3.4289345450281936e-5,protein_coding
ENSG00000006652,IFRD1,1.1645017154934267,0.4071589619638431,1.295822961967163e-4,0.030049764098709467,protein_coding
ENSG00000010282,HHATL,1.1479112030267682,0.3170164833324829,1.0613464058060408e-5,0.004242091789550971,protein_coding
ENSG00000047634,SCML1,1.0389078893886516,0.32507043687727105,5.074988304217064e-5,0.014005759389090473,protein_coding
ENSG00000067082,KLF6,1.0953481518349792,0.3836119835799515,1.3322826499991022e-4,0.030279388619881557,protein_coding
ENSG00000075426,FOSL2,1.187759109086028,0.4098351877954332,1.1571753248399271e-4,0.027943373312957487,protein_coding
ENSG00000106617,PRKAG2,4.255542179461727,0.729434923399844,1.3679637189457592e-10,1.71520413667984e-7,protein_coding
ENSG00000109819,PPARGC1A,2.490059650452342,0.3688491694513029,6.261791180785119e-13,3.4033965901562854e-9,protein_coding
ENSG00000110172,CHORDC1,1.0843434785623922,0.30809715776737717,1.2601065303700542e-5,0.004868631597839766,protein_coding
ENSG00000112715,VEGFA,1.874033256874628,0.27487257742077376,4.04434870975789e-13,3.4033965901562854e-9,protein_coding
ENSG00000113108,APBB3,1.9193724322983146,0.5703567798339653,2.481948703267726e-5,0.007991185394326725,protein_coding
ENSG00000114315,HES1,2.6142104114366966,0.42911695683923756,5.1121339375103845e-11,8.464963495668981e-8,protein_coding
ENSG00000117461,PIK3R3,1.230010536793914,0.3726083561560982,3.230157231590467e-5,0.010119122289558136,protein_coding
ENSG00000119508,NR4A3,3.7557993362998756,0.8089279607797192,1.0733947309578967e-7,7.318657839137048e-5,protein_coding
ENSG00000120738,EGR1,5.068916170336818,0.7751739380270115,1.840556148635863e-12,4.266777263767657e-9,protein_coding
ENSG00000123358,NR4A1,3.2744098947663556,0.48943213907672656,8.808722086505786e-13,3.4033965901562854e-9,protein_coding
ENSG00000124145,SDC4,1.917126423939394,0.3156752884743582,5.081976872767733e-11,8.464963495668981e-8,protein_coding
ENSG00000130164,LDLR,1.578896085851201,0.5840194089047295,1.9039049333465435e-4,0.0408669668192959,protein_coding
ENSG00000133561,GIMAP6,-1.8507268323062307,0.5809924311881705,5.317507375734024e-5,0.014333773951658853,protein_coding
ENSG00000134107,BHLHE40,1.5151683619648932,0.37634570716540006,2.0690926703096936e-6,9.224174285215254e-4,protein_coding
ENSG00000139112,GABARAPL1,1.3942055977912002,0.32683922075000155,7.260310118316778e-7,3.8251933900640807e-4,protein_coding
ENSG00000140961,OSGIN1,2.169723485747238,0.5083846672460205,6.828500886635175e-7,3.7690073227137293e-4,protein_coding
ENSG00000144136,SLC20A1,2.7818495820385403,0.4218218041440291,1.7141365304220696e-12,4.266777263767657e-9,protein_coding
ENSG00000148339,SLC25A25,2.7328982985926387,0.5800971539830603,9.334307071123307e-8,6.76212207883689e-5,protein_coding
ENSG00000153187,HNRNPU,0.6571092669424414,0.2144373332385133,7.190402422829711e-5,0.018520878774004264,protein_coding
ENSG00000153234,NR4A2,4.496977351514759,0.9494671738873101,1.1604854946139969e-7,7.472881871150466e-5,protein_coding
ENSG00000154153,FAM134B,0.9234995617824834,0.26017360913391563,1.4127589288599783e-5,0.005117277732630003,protein_coding
ENSG00000155090,KLF10,1.577472323448725,0.31444330036314116,2.179269491166436e-8,1.9430702055469354e-5,protein_coding
ENSG00000158022,TRIM63,1.7001666354559257,0.41203588211199876,1.388869989567407e-6,6.70766335378159e-4,protein_coding
ENSG00000159388,BTG2,2.2722478100782273,0.7048498238523219,3.995971032955826e-5,0.011876230831536149,protein_coding
ENSG00000161896,IP6K3,1.0382891159632677,0.3532966565414764,1.0661615990057691e-4,0.02629335977462951,protein_coding
ENSG00000170345,FOS,5.619718998018456,0.9984316381054237,4.731112921047554e-10,4.985302715260199e-7,protein_coding
ENSG00000172594,SMPDL3A,1.4207192267354098,0.4363272544972494,3.7568212846816334e-5,0.011459293555459162,protein_coding
ENSG00000174429,ABRA,1.7891431916577762,0.5114259515391384,1.580511471195181e-5,0.005388149547830395,protein_coding
ENSG00000182676,PPP1R27,1.6941534626416592,0.39322858387034587,6.289198288306117e-7,3.6449048679878095e-4,protein_coding
ENSG00000184009,ACTG1,0.8952360459966007,0.25778569174526716,1.7777151798333817e-5,0.005887284756985351,protein_coding
ENSG00000205268,PDE7A,0.9275342721830416,0.23737421567807226,3.4794105245981803e-6,0.001440351692522054,protein_coding
ENSG00000250069,CTB-131B5.2,4.5143872054858925,0.8158965880110943,5.2730325249723584e-9,5.093309999746217e-6,sense_intronic
ENSG00000262222,RP11-876N24.4,2.794024550880139,0.6001732690178686,8.498266136148116e-8,6.566893518939521e-5,antisense
ENSG00000270682,KB-1907C4.2,3.340575258431757,1.2565824779465413,1.7340264000578032e-4,0.03865211539051923,pseudogene
